"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","first_composer","intertextual_entity","title","date_of_production","geographic_area_code","zzz_deleted_instrumentation","geographical_area_code","super_work","opus_no","index_no","medium_of_performance","unmodified_gnd_data","zzz_deleted_added_by_project","instruments","gnd_status","form","title_no","title_instrument","alt_titles","tonality","language","final","confirmed_by_slub","zzz_deleted_alt_instrument_ids","genre_ids","main_instrumentation","alt_instrumentation","genres","instrument_ids","alt_instrument_names"
"75","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217740058","42","0","Lieder und eine Romanze",NULL,,,,"0","8",,,"1","0","2","n","2",,,"Lieder",,,"2","1",,"4035669-3$4050494-3","0","0","1",,
"76","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217740686","97","0","Geschwindmärsche",NULL,,,,"0",,,,"1","0","1",,"1",,,,,,"2","1",,"4168976-8","0","0","1",,
"77","0","1643120081","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217741232","42","0","Variationen",NULL,,,,"0","10",,,"1","0","1","n","1",,"Gitarre","Variations faciles","A-Dur",,"2","1",,"4187414-6","0","0","1",,
"78","0","1643120081","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217743642","91","0","Sonaten","1805-01-01",,,,"0","43",,,"1","0","1",,"1",,"Klavier","Große Sonate","C-Dur",,"2","1",,"4131190-5","0","0","1",,
"79","0","1643120081","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217744479","1024","0","Rondeaux variés",NULL,,,,"1668",,,,"1","0","1","n","1","Nr. 7",,,,,"2","1",,"4178454-6","0","0","1",,
"80","0","1643120081","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217746404","101","0","Gesänge",NULL,,,,"0","84",,,"1","0","2",,"1",,,"Neueste Sammlung der besten Gesänge $ Gesänge",,,"2","1",,"4020470-4","0","0","1",,
"81","0","1643120081","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217792694","204","0","Pièces favorites",NULL,,,,"0",,,,"1","0","1","n","1",,,"Pièces",,,"2","1",,"7727983-9","0","0","1",,
"82","0","1643120083","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217792899","1024","0","Rondeaux variés",NULL,,,,"1668",,,,"1","0","1",,"1","Nr. 6",,,,,"2","1",,"4178454-6","0","0","1",,
"83","0","1643120083","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121779347X","88","0","Gesänge",NULL,,,,"0","16",,,"1","0","2","n","1",,,"Gesänge",,,"2","1",,"4020470-4","0","0","1",,
"84","0","1643120083","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217794034","119","0","Schottische Anglaisen","1808-01-01",,,,"0","1",,,"1","0","1",,"1",,,"Schottische Angloises $ Anglaisen",,,"0","1",,"4142457-8","0","0","1",,
